Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.childreport.json	7253	-	0	0	0	0	0	0	14	74	0	0	0	0	0	0	0	1	0	0	82	75	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-cs-child-report-documentation.json	2183	4	0	0	2	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	16	84	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-eye-movement-and-position.json	683	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	56	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeChildReportComposition.json	11012	7	0	115	0	0	0	0	1	137	0	0	0	0	0	0	0	3	0	0	496	1618	0	1	0	46	0	2
fsh-generated/resources/StructureDefinition-BeModelChildReport.json	27790	13	0	61	0	0	0	0	0	101	0	0	0	0	0	0	0	1	0	0	406	459	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-be-vl-childreport.json	39618	24	0	781	0	0	0	0	1	350	0	0	3	0	0	0	0	10	0	0	3296	4642	0	0	0	126	1	9
fsh-generated/resources/ValueSet-vs-eye-movement-and-position.json	1041	2	0	0	0	0	0	0	0	2163	0	0	0	0	0	0	0	0	0	0	11	994	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-eye-screening-results.json	897	1	0	0	0	0	0	0	1	1009	0	0	0	0	0	0	0	0	0	0	7	1040	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-neonatal-hearing-screening-results.json	959	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	535	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-ophthalmologist-treatments.json	640	1	0	0	0	0	0	0	1	1003	0	0	0	0	0	0	0	0	0	0	6	1025	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	653	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1152	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	5	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/background.xml	271	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ChildReport-notes.md	55	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/CodeSystem-CSChildReportDocumentation-intro.md	101	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	7915	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-BeChildReportComposition-intro.md	109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ChildReport-intro.md	109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	46	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/childrecordmodel.png	20907	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	6394	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
